agey,ntotal
55,3813
56,3813
57,3813
58,3813
59,3813
60,4347
61,2441
62,2788
63,2527
64,2694
65,2753
66,2881
67,2040
68,3432
69,2733
70,2003
71,1405
72,1354
73,1610
74,992
75,1079
76,1200
77,804
78,1481
79,687
80,733
81,434
82,562
83,618
84,423
85,508
86,616
87,351
88,646
89,186
90,1196
