x,y
9.224770642201836,49.024390243902424
9.658256880733946,29.999999999999993
10.075688073394497,35.12195121951219
10.525229357798166,46.09756097560976
10.974770642201836,21.707317073170728
11.408256880733946,44.8780487804878
11.841743119266056,32.43902439024389
12.275229357798166,8.536585365853652
12.708715596330276,32.43902439024389
13.142201834862384,5.365853658536578
13.591743119266054,10.487804878048772
14.041284403669724,34.14634146341463
14.458715596330276,29.02439024390243
14.908256880733944,18.780487804878042
15.341743119266052,20.731707317073166
15.775229357798164,32.43902439024389
