agey,ntotal
55,1775410
56,1684178
57,1550710
58,1518049
59,1454374
60,1479067
61,1259531
62,1260970
63,1165205
64,1096632
65,1075949
66,988649
67,925114
68,856177
69,807034
70,879538
71,727419
72,692217
73,644839
74,652235
75,583461
76,504692
77,483388
78,462228
79,425258
80,425008
81,333084
82,307620
83,277491
84,243682
85,214124
86,178687
87,152120
88,124607
89,104923
90,420742
